NAME                     INSTALLED                          FIXED IN                           TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libssl1.1                1.1.0l-1~deb9u1                                                       deb   CVE-2022-2274     Critical    56.5% (98th)   53.1          
openssl                  1.1.0l-1~deb9u1                                                       deb   CVE-2022-2274     Critical    56.5% (98th)   53.1          
libfreetype6             2.6.3-3.2+deb9u1                   2.6.3-3.2+deb9u2                   deb   CVE-2020-15999    Medium      93.0% (99th)   52.5   (kev)  
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36228    High        66.2% (98th)   49.7          
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36228    High        66.2% (98th)   49.7          
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u6                    deb   CVE-2022-1292     Critical    53.0% (97th)   47.7          
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u6                    deb   CVE-2022-1292     Critical    53.0% (97th)   47.7          
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36227    High        57.7% (98th)   43.3          
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36227    High        57.7% (98th)   43.3          
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36221    High        47.6% (97th)   35.7          
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36221    High        47.6% (97th)   35.7          
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-1000001  High        44.6% (97th)   33.5          
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-1000001  High        44.6% (97th)   33.5          
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-1000001  High        44.6% (97th)   33.5          
libssh2-1                1.7.0-1+deb9u1                     1.7.0-1+deb9u2                     deb   CVE-2019-13115    High        42.8% (97th)   32.1          
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36222    High        35.9% (96th)   26.9          
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36222    High        35.9% (96th)   26.9          
libdb5.3                 5.3.28-12+deb9u1                   (won't fix)                        deb   CVE-2019-8457     Critical    24.7% (95th)   22.2          
libsqlite3-0             3.16.2-5+deb9u1                    (won't fix)                        deb   CVE-2019-8457     Critical    24.7% (95th)   22.2          
libssl1.1                1.1.0l-1~deb9u1                                                       deb   CVE-2022-2068     Critical    21.9% (95th)   19.7          
openssl                  1.1.0l-1~deb9u1                                                       deb   CVE-2022-2068     Critical    21.9% (95th)   19.7          
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u9               deb   CVE-2022-29155    Critical    20.9% (95th)   18.8          
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u9               deb   CVE-2022-29155    Critical    20.9% (95th)   18.8          
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2018-14404    High        23.6% (95th)   17.7          
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u8               deb   CVE-2021-27212    High        22.8% (95th)   17.1          
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u8               deb   CVE-2021-27212    High        22.8% (95th)   17.1          
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2018-20506    High        18.0% (94th)   13.5          
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2018-20346    High        16.8% (94th)   12.6          
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u5                     deb   CVE-2022-25235    Critical    13.3% (93rd)   12.0          
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u6               deb   CVE-2020-25709    High        12.3% (93rd)   9.3           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u6               deb   CVE-2020-25709    High        12.3% (93rd)   9.3           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u6             deb   CVE-2017-16932    High        11.5% (93rd)   8.6           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u5                     deb   CVE-2022-25236    Critical    9.4% (92nd)    8.4           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2019-9169     Critical    8.6% (92nd)    7.7           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2019-9169     Critical    8.6% (92nd)    7.7           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2019-9169     Critical    8.6% (92nd)    7.7           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u5                     deb   CVE-2022-25315    Critical    7.9% (91st)    7.1           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2018-8740     High        9.0% (92nd)    6.8           
libssl1.0.2              1.0.2u-1~deb9u1                    1.0.2u-1~deb9u7                    deb   CVE-2022-0778     High        8.4% (91st)    6.3           
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u5                    deb   CVE-2022-0778     High        8.4% (91st)    6.3           
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u5                    deb   CVE-2022-0778     High        8.4% (91st)    6.3           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u6               deb   CVE-2020-25710    High        7.0% (91st)    5.2           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u6               deb   CVE-2020-25710    High        7.0% (91st)    5.2           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36223    High        6.0% (90th)    4.5           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36223    High        6.0% (90th)    4.5           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-23990    Critical    3.7% (87th)    3.3           
libglib2.0-0             2.50.3-2+deb9u2                    2.50.3-2+deb9u3                    deb   CVE-2021-27218    High        4.3% (88th)    3.2           
