NAME                INSTALLED                     FIXED IN                 TYPE  VULNERABILITY   SEVERITY    EPSS           RISK          
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4911   High        78.4% (98th)   78.8   (kev)  
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4911   High        78.4% (98th)   78.8   (kev)  
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4911   High        78.4% (98th)   78.8   (kev)  
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0286   High        90.1% (99th)   67.6          
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0286   High        90.1% (99th)   67.6          
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-3602   High        86.3% (99th)   64.7          
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-3602   High        86.3% (99th)   64.7          
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       (won't fix)              deb   CVE-2022-37434  Medium      92.7% (99th)   46.3          
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-2650   Medium      92.0% (99th)   46.0          
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-2650   Medium      92.0% (99th)   46.0          
wget                1.17.1-1ubuntu1.3             1.17.1-1ubuntu1.4        deb   CVE-2018-0494   Medium      75.6% (98th)   37.8          
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.13       deb   CVE-2018-0732   Low         81.1% (99th)   24.3          
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.13       deb   CVE-2018-0732   Low         81.1% (99th)   24.3          
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-3786   High        19.2% (95th)   14.4          
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-3786   High        19.2% (95th)   14.4          
libdb5.3            5.3.28-11ubuntu0.1            5.3.28-11ubuntu0.2       deb   CVE-2019-8457   Medium      27.1% (96th)   13.6          
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6246   Medium      25.1% (95th)   12.5          
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6246   Medium      25.1% (95th)   12.5          
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6246   Medium      25.1% (95th)   12.5          
bash                4.3-14ubuntu1.2                                        deb   CVE-2019-18276  Low         40.0% (97th)   12.0          
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.13       deb   CVE-2018-0737   Low         34.2% (96th)   10.3          
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.13       deb   CVE-2018-0737   Low         34.2% (96th)   10.3          
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.11       deb   CVE-2018-0739   Medium      16.0% (94th)   8.0           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.11       deb   CVE-2018-0739   Medium      16.0% (94th)   8.0           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.5        deb   CVE-2018-12015  Medium      15.1% (94th)   7.5           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-3358   Low         22.2% (95th)   6.7           
