image,cve_id,package_name,installed_version,fixed_version,severity,detected_by,title
hyperledger/fabric-tools:2.1,CVE-2021-36159,apk-tools,2.10.4-r3,2.10.7-r0,CRITICAL,"trivy, grype",libfetch: an out of boundary read while libfetch uses strtol to parse the relevant numbers into address bytes leads to information leak or crash
hyperledger/fabric-tools:2.1,CVE-2021-30139,apk-tools,2.10.4-r3,2.10.6-r0,HIGH,"trivy, grype",
hyperledger/fabric-tools:2.1,CVE-2021-28831,busybox,1.31.1-r9,1.31.1-r10,HIGH,"trivy, grype",busybox: invalid free or segmentation fault via malformed gzip data
hyperledger/fabric-tools:2.1,CVE-2021-42378,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_i()
hyperledger/fabric-tools:2.1,CVE-2021-42379,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the next_input_file()
hyperledger/fabric-tools:2.1,CVE-2021-42380,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the clrvar()
hyperledger/fabric-tools:2.1,CVE-2021-42381,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the hash_init()
hyperledger/fabric-tools:2.1,CVE-2021-42382,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_s()
hyperledger/fabric-tools:2.1,CVE-2021-42383,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
hyperledger/fabric-tools:2.1,CVE-2021-42384,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the handle_special()
hyperledger/fabric-tools:2.1,CVE-2021-42385,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
hyperledger/fabric-tools:2.1,CVE-2021-42386,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the nvalloc()
hyperledger/fabric-tools:2.1,CVE-2021-21300,git,2.24.3-r0,2.24.4-r0,HIGH,"trivy, grype",git: remote code execution during clone operation on case-insensitive filesystems
hyperledger/fabric-tools:2.1,CVE-2021-3711,libcrypto1.1,1.1.1d-r3,1.1.1l-r0,CRITICAL,"trivy, grype",openssl: SM2 Decryption Buffer Overflow
hyperledger/fabric-tools:2.1,CVE-2020-1967,libcrypto1.1,1.1.1d-r3,1.1.1g-r0,HIGH,"trivy, grype",openssl: Segmentation fault in SSL_check_chain causes denial of service
hyperledger/fabric-tools:2.1,CVE-2021-23840,libcrypto1.1,1.1.1d-r3,1.1.1j-r0,HIGH,"trivy, grype",openssl: integer overflow in CipherUpdate
hyperledger/fabric-tools:2.1,CVE-2021-3450,libcrypto1.1,1.1.1d-r3,1.1.1k-r0,HIGH,"trivy, grype",openssl: CA certificate check bypass with X509_V_FLAG_X509_STRICT
hyperledger/fabric-tools:2.1,CVE-2021-3712,libcrypto1.1,1.1.1d-r3,1.1.1l-r0,HIGH,"trivy, grype",openssl: Read buffer overruns processing ASN.1 strings
hyperledger/fabric-tools:2.1,CVE-2021-22945,libcurl,7.67.0-r0,7.79.0-r0,CRITICAL,"trivy, grype",curl: use-after-free and double-free in MQTT sending
hyperledger/fabric-tools:2.1,CVE-2020-8169,libcurl,7.67.0-r0,7.67.0-r1,HIGH,"trivy, grype",libcurl: partial password leak over DNS on HTTP redirect
hyperledger/fabric-tools:2.1,CVE-2020-8177,libcurl,7.67.0-r0,7.67.0-r1,HIGH,"trivy, grype",curl: Incorrect argument check can allow remote servers to overwrite local files
hyperledger/fabric-tools:2.1,CVE-2020-8231,libcurl,7.67.0-r0,7.67.0-r2,HIGH,"trivy, grype",curl: Expired pointer dereference via multi API with CURLOPT_CONNECT_ONLY option set
hyperledger/fabric-tools:2.1,CVE-2020-8285,libcurl,7.67.0-r0,7.67.0-r3,HIGH,"trivy, grype",curl: Malicious FTP server can trigger stack overflow when CURLOPT_CHUNK_BGN_FUNCTION is used
hyperledger/fabric-tools:2.1,CVE-2020-8286,libcurl,7.67.0-r0,7.67.0-r3,HIGH,"trivy, grype",curl: Inferior OCSP verification
hyperledger/fabric-tools:2.1,CVE-2021-22926,libcurl,7.67.0-r0,7.67.0-r5,HIGH,"trivy, grype",curl: CURLOPT_SSLCERT mixup with Secure Transport
hyperledger/fabric-tools:2.1,CVE-2021-22946,libcurl,7.67.0-r0,7.79.0-r0,HIGH,"trivy, grype","curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols"
hyperledger/fabric-tools:2.1,CVE-2021-3711,libssl1.1,1.1.1d-r3,1.1.1l-r0,CRITICAL,"trivy, grype",openssl: SM2 Decryption Buffer Overflow
