image,cve_id,package_name,installed_version,fixed_version,severity,detected_by,title
hyperledger/fabric-peer:1.1.0,CVE-2019-3462,apt,1.2.25,1.2.29ubuntu0.1,HIGH,"trivy, grype",Incorrect sanitation of the 302 redirect field in HTTP transport metho ...
hyperledger/fabric-peer:1.1.0,CVE-2019-3462,libapt-pkg5.0,1.2.25,1.2.29ubuntu0.1,HIGH,"trivy, grype",Incorrect sanitation of the 302 redirect field in HTTP transport metho ...
hyperledger/fabric-peer:1.1.0,CVE-2020-1971,libssl1.0.0,1.0.2g-1ubuntu4.10,1.0.2g-1ubuntu4.18,HIGH,"trivy, grype",openssl: EDIPARTYNAME NULL pointer de-reference
hyperledger/fabric-peer:1.1.0,CVE-2018-16864,libsystemd0,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when calling syslog from a command with long cmdline
hyperledger/fabric-peer:1.1.0,CVE-2018-16865,libsystemd0,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when receiving many journald entries
hyperledger/fabric-peer:1.1.0,CVE-2018-16864,libudev1,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when calling syslog from a command with long cmdline
hyperledger/fabric-peer:1.1.0,CVE-2018-16865,libudev1,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when receiving many journald entries
hyperledger/fabric-peer:1.1.0,CVE-2020-1971,openssl,1.0.2g-1ubuntu4.10,1.0.2g-1ubuntu4.18,HIGH,"trivy, grype",openssl: EDIPARTYNAME NULL pointer de-reference
hyperledger/fabric-peer:1.1.0,CVE-2018-16864,systemd,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when calling syslog from a command with long cmdline
hyperledger/fabric-peer:1.1.0,CVE-2018-16865,systemd,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when receiving many journald entries
hyperledger/fabric-peer:1.1.0,CVE-2018-16864,systemd-sysv,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when calling syslog from a command with long cmdline
hyperledger/fabric-peer:1.1.0,CVE-2018-16865,systemd-sysv,229-4ubuntu21.1,229-4ubuntu21.15,HIGH,"trivy, grype",systemd: stack overflow when receiving many journald entries
hyperledger/fabric-peer:1.1.0,CVE-2023-4911,libc-bin,2.23-0ubuntu10,No fix available,HIGH,grype,
hyperledger/fabric-peer:1.1.0,CVE-2023-4911,libc6,2.23-0ubuntu10,No fix available,HIGH,grype,
hyperledger/fabric-peer:1.1.0,CVE-2023-4911,multiarch-support,2.23-0ubuntu10,No fix available,HIGH,grype,
