image,cve_id,package_name,installed_version,fixed_version,severity,detected_by,title
hyperledger/fabric-peer:3.1,CVE-2025-58187,stdlib,v1.25.2,"1.24.9, 1.25.3",HIGH,trivy,"Due to the design of the name constraint checking algorithm, the proce ..."
hyperledger/fabric-peer:3.1,GHSA-fj2x-735w-74vq,github.com/consensys/gnark-crypto,v0.19.0,"0.18.1, 0.19.2",HIGH,trivy,gnark-crypto allows unchecked memory allocation during vector deserialization
hyperledger/fabric-peer:3.1,CVE-2024-56433,login,1:4.13+dfsg1-4ubuntu3.2,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2024-56433,passwd,1:4.13+dfsg1-4ubuntu3.2,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2024-41996,libssl3t64,3.0.13-0ubuntu3.6,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2024-2236,libgcrypt20,1.10.3-2build1,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-45582,tar,1.35+dfsg-3build1,No fix available,MEDIUM,grype,
hyperledger/fabric-peer:3.1,CVE-2016-2781,coreutils,9.4-3ubuntu6.1,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-8941,libpam-modules,1.5.3-5ubuntu5.5,No fix available,MEDIUM,grype,
hyperledger/fabric-peer:3.1,CVE-2025-8941,libpam-modules-bin,1.5.3-5ubuntu5.5,No fix available,MEDIUM,grype,
hyperledger/fabric-peer:3.1,CVE-2025-8941,libpam-runtime,1.5.3-5ubuntu5.5,No fix available,MEDIUM,grype,
hyperledger/fabric-peer:3.1,CVE-2025-8941,libpam0g,1.5.3-5ubuntu5.5,No fix available,MEDIUM,grype,
hyperledger/fabric-peer:3.1,CVE-2025-27587,libssl3t64,3.0.13-0ubuntu3.6,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-6141,libncursesw6,6.4+20240113-1ubuntu2,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-6141,libtinfo6,6.4+20240113-1ubuntu2,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-6141,ncurses-base,6.4+20240113-1ubuntu2,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-6141,ncurses-bin,6.4+20240113-1ubuntu2,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2022-3219,gpgv,2.4.4-2ubuntu17.3,No fix available,LOW,grype,
hyperledger/fabric-peer:3.1,CVE-2025-5278,coreutils,9.4-3ubuntu6.1,No fix available,LOW,grype,
