image,cve_id,package_name,installed_version,fixed_version,severity,detected_by,title
vulhub/couchdb:3.2.1,CVE-2022-3715,bash,5.1-2+deb11u1,No fix available,HIGH,"trivy, grype",bash: a heap-buffer-overflow in valid_parameter_transform
vulhub/couchdb:3.2.1,CVE-2022-1304,e2fsprogs,1.46.2-2,1.46.2-2+deb11u1,HIGH,"trivy, grype",e2fsprogs: out-of-bounds read/write via crafted filesystem
vulhub/couchdb:3.2.1,CVE-2022-37026,erlang-asn1,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u1,CRITICAL,"trivy, grype",erlang/otp: Client Authentication Bypass
vulhub/couchdb:3.2.1,CVE-2025-30211,erlang-asn1,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,HIGH,"trivy, grype",erlang: KEX init error results with excessive memory usage
vulhub/couchdb:3.2.1,CVE-2025-32433,erlang-asn1,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,CRITICAL,"trivy, grype",Erlang/OTP is a set of libraries for the Erlang programming language.  ...
vulhub/couchdb:3.2.1,CVE-2022-37026,erlang-base,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u1,CRITICAL,"trivy, grype",erlang/otp: Client Authentication Bypass
vulhub/couchdb:3.2.1,CVE-2025-30211,erlang-base,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,HIGH,"trivy, grype",erlang: KEX init error results with excessive memory usage
vulhub/couchdb:3.2.1,CVE-2025-32433,erlang-base,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,CRITICAL,"trivy, grype",Erlang/OTP is a set of libraries for the Erlang programming language.  ...
vulhub/couchdb:3.2.1,CVE-2022-37026,erlang-crypto,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u1,CRITICAL,"trivy, grype",erlang/otp: Client Authentication Bypass
vulhub/couchdb:3.2.1,CVE-2025-30211,erlang-crypto,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,HIGH,"trivy, grype",erlang: KEX init error results with excessive memory usage
vulhub/couchdb:3.2.1,CVE-2025-32433,erlang-crypto,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,CRITICAL,"trivy, grype",Erlang/OTP is a set of libraries for the Erlang programming language.  ...
vulhub/couchdb:3.2.1,CVE-2022-37026,erlang-diameter,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u1,CRITICAL,"trivy, grype",erlang/otp: Client Authentication Bypass
vulhub/couchdb:3.2.1,CVE-2025-30211,erlang-diameter,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,HIGH,"trivy, grype",erlang: KEX init error results with excessive memory usage
vulhub/couchdb:3.2.1,CVE-2025-32433,erlang-diameter,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,CRITICAL,"trivy, grype",Erlang/OTP is a set of libraries for the Erlang programming language.  ...
vulhub/couchdb:3.2.1,CVE-2022-37026,erlang-edoc,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u1,CRITICAL,"trivy, grype",erlang/otp: Client Authentication Bypass
vulhub/couchdb:3.2.1,CVE-2025-30211,erlang-edoc,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,HIGH,"trivy, grype",erlang: KEX init error results with excessive memory usage
vulhub/couchdb:3.2.1,CVE-2025-32433,erlang-edoc,1:23.2.6+dfsg-1,1:23.2.6+dfsg-1+deb11u2,CRITICAL,"trivy, grype",Erlang/OTP is a set of libraries for the Erlang programming language.  ...
